id,age_range,num_people,gender_group,target_lat,target_lon,travel_radius_km,smoking_level,drinking_level,weed_level,ideal_group_size,languages,sexuality_inclusive,accessibility_friendly,special_selections,group_rating,ideal_activity,created_at
1,21-25,4,3,45.5017,-73.5673,15,2,7,5,5,"{English,French}",t,t,2,4.4,bar hopping,2025-10-15 20:25:43.192179-04
2,20-27,4,3,43.6532,-79.3832,20,1,5,3,6,{English},t,t,4,4.0,nightclub,2025-10-15 20:25:43.192179-04
3,19-26,5,3,49.2827,-123.1207,25,4,6,7,7,"{English,Mandarin}",t,f,3,4.2,house party,2025-10-15 20:25:43.192179-04
4,20-26,6,3,51.0447,-114.0719,30,0,3,2,8,{English},t,t,1,3.9,dinner,2025-10-15 20:25:43.192179-04
5,20-24,7,3,45.4215,-75.6972,20,5,2,6,9,"{English,French}",f,t,2,4.1,concert,2025-10-15 20:25:43.192179-04
6,22-28,4,3,43.5890,-79.6441,15,2,6,4,5,{English},t,t,3,4.3,nightclub,2025-10-15 20:25:43.192179-04
7,21-26,5,3,43.2557,-79.8711,25,1,7,3,6,{English},t,t,2,4.0,bar hopping,2025-10-15 20:25:43.192179-04
8,20-25,3,3,45.6066,-73.7124,10,3,5,5,4,"{English,French}",t,t,2,4.5,dinner,2025-10-15 20:25:43.192179-04
9,22-26,4,3,45.5225,-73.5800,8,3,8,6,5,"{English,French}",t,t,2,4.6,bar hopping,2025-10-15 20:25:43.192179-04
10,19-23,5,3,45.5079,-73.5540,12,1,6,3,6,"{French}",t,t,3,4.2,nightclub,2025-10-15 20:25:43.192179-04
11,23-28,3,3,45.5312,-73.5185,15,2,7,4,4,"{English,French}",t,f,2,4.3,dinner,2025-10-15 20:25:43.192179-04
12,20-24,6,3,45.4584,-73.4582,20,4,5,7,7,"{French}",f,t,1,3.8,house party,2025-10-15 20:25:43.192179-04
13,21-25,4,3,45.4833,-73.6000,10,2,6,5,5,"{English,French}",t,t,2,4.4,bar hopping,2025-10-15 20:25:43.192179-04
14,24-30,4,3,45.4750,-73.6200,12,0,4,2,5,"{English,French}",t,t,4,4.1,dinner,2025-10-15 20:25:43.192179-04
15,19-22,5,3,45.5285,-73.5970,6,5,9,8,6,"{French}",t,t,2,4.0,nightclub,2025-10-15 20:25:43.192179-04
16,22-27,4,3,45.5500,-73.6200,10,3,7,5,5,"{English,French}",t,t,3,4.5,concert,2025-10-15 20:25:43.192179-04
17,20-26,3,3,45.5100,-73.5700,15,2,6,4,4,"{English,French}",t,t,2,4.3,bar hopping,2025-10-15 20:25:43.192179-04
18,25-32,4,3,45.4950,-73.5560,8,1,5,3,5,"{English}",t,t,4,4.2,dinner,2025-10-15 20:25:43.192179-04
